last_name,first_name,display_name,goals
Schär,Fabian,Fabian Schär,18
Sheron,Mike,Mike Sheron,18
Sibierski,Antoine,Antoine Sibierski,18
Strand Larsen,Jørgen,Jørgen Strand Larsen,18
Xhaka,Granit,Granit Xhaka,18
Aparecido da Silva,Gilberto,Gilberto Silva,17
Babel,Ryan,Ryan Babel,17
Ballack,Michael,Michael Ballack,17
Beagrie,Peter,Peter Beagrie,17
Berkovic,Eyal,Eyal Berkovic,17
Boateng,George,George Boateng,17
Davis,Steven,Steven Davis,17
Dias Belloli,Raphael,Raphinha,17
Essien,Michael,Michael Essien,17
Fernández,Enzo,Enzo Fernández,17
Garnacho,Alejandro,Alejandro Garnacho,17
Gera,Zoltán,Zoltán Gera,17
Gillespie,Keith,Keith Gillespie,17
Holland,Matt,Matt Holland,17
Ibrahimovic,Zlatan,Zlatan Ibrahimovic,17
Kamara,Diomansy,Diomansy Kamara,17
Koné,Arouna,Arouna Koné,17
Lamela,Érik,Érik Lamela,17
Leboeuf,Frank,Frank Leboeuf,17
Llorente,Fernando,Fernando Llorente,17
Maddison,Neil,Neil Maddison,17
Peacock,Gavin,Gavin Peacock,17
Pembridge,Mark,Mark Pembridge,17
Penrice,Gary,Gary Penrice,17
Santos do Nascimento,Ramires,Ramires,17
Schürrle,André,André Schürrle,17
Southgate,Gareth,Gareth Southgate,17
Vokes,Sam,Sam Vokes,17
Weimann,Andreas,Andreas Weimann,17
Windass,Dean,Dean Windass,17
Woan,Ian,Ian Woan,17
Allen,Joe,Joe Allen,16
Armstrong,Stuart,Stuart Armstrong,16
Baiano,Francesco,Francesco Baiano,16
Bailey,Leon,Leon Bailey,16
Borini,Fabio,Fabio Borini,16
Carsley,Lee,Lee Carsley,16
Dann,Scott,Scott Dann,16
de Lima Barbosa,Francisco Evanilson,Evanilson,16
Dunk,Lewis,Lewis Dunk,16
Fer,Leroy,Leroy Fer,16
Fornals,Pablo,Pablo Fornals,16
Hoilett,Junior,Junior Hoilett,16
Ighalo,Odion,Odion Ighalo,16
Job,Joseph-Desire,Joseph-Desire Job,16
Kachloul,Hassan,Hassan Kachloul,16
Morata,Álvaro,Álvaro Morata,16
O'Neil,Gary,Gary O'Neil,16
Pépé,Nicolas,Nicolas Pépé,16
Pereyra,Roberto,Roberto Pereyra,16
Petrov,Martin,Martin Petrov,16
Ramsey,Jacob,Jacob Ramsey,16
Reyes,José Antonio,José Antonio Reyes,16
Ridgewell,Liam,Liam Ridgewell,16
Routledge,Wayne,Wayne Routledge,16
Ruddock,Neil,Neil Ruddock,16
Samba,Christopher,Christopher Samba,16
Sharp,Graeme,Graeme Sharp,16
Sinton,Andy,Andy Sinton,16
Sissoko,Moussa,Moussa Sissoko,16
Skrtel,Martin,Martin Skrtel,16
Tavernier,Marcus,Marcus Tavernier,16
Tolentino Coelho de Lima,Lucas,Lucas Paquetá,16
Walsh,Paul,Paul Walsh,16
Barker,Simon,Simon Barker,15
Batshuayi,Michy,Michy Batshuayi,15
Benrahma,Saïd,Saïd Benrahma,15
Buendía,Emiliano,Emiliano Buendía,15
Bullard,Jimmy,Jimmy Bullard,15
Chamakh,Marouane,Marouane Chamakh,15
Clark,Ciaran,Ciaran Clark,15
Cole,Ashley,Ashley Cole,15
Di Matteo,Roberto,Roberto Di Matteo,15
El Ghazi,Anwar,Anwar El Ghazi,15
Gomes Betuncal,Norberto Bercique,Beto,15
Hughes,Michael,Michael Hughes,15
Johnson,Glen,Glen Johnson,15
Ki,Sung-Yueng,Ki Sung-Yueng,15
Kilbane,Kevin,Kevin Kilbane,15
Kitson,Dave,Dave Kitson,15
Kouyaté,Cheikhou,Cheikhou Kouyaté,15
Kudus,Mohammed,Mohammed Kudus,15
Madueke,Noni,Noni Madueke,15
Magilton,Jim,Jim Magilton,15
Maguire,Harry,Harry Maguire,15
Maloney,Shaun,Shaun Maloney,15
McAuley,Gareth,Gareth McAuley,15
Morrison,Clinton,Clinton Morrison,15
Oakley,Matt,Matt Oakley,15
Palmer,Carlton,Carlton Palmer,15
Robben,Arjen,Arjen Robben,15
Rodríguez,Maximiliano,Maxi Rodríguez,15
Strupar,Branko,Branko Strupar,15
Thompson,David,David Thompson,15
